"Bowling_Team","Bowler","Season","Stadium","Runs","Wickets","Balls","Batting_Team","Average","Economy"
"Chennai Super Kings","Jacob Oram",2009,"SuperSport Park",27,2,24,"All",13.5,6.75
"Chennai Super Kings","Jason Holder",2013,"M Chinnaswamy Stadium",20,0,6,"All",Inf,20
"Chennai Super Kings","Jason Holder",2013,"MA Chidambaram Stadium",100,0,72,"All",Inf,8.33333333333333
"Chennai Super Kings","Jason Holder",2013,"Rajiv Gandhi International Stadium",28,0,18,"All",Inf,9.33333333333333
"Chennai Super Kings","Jason Holder",2013,"Sawai Mansingh Stadium",20,2,24,"All",10,5
"Chennai Super Kings","Joginder Sharma",2008,"M Chinnaswamy Stadium",27,2,22,"All",13.5,7.36363636363636
"Chennai Super Kings","Joginder Sharma",2008,"MA Chidambaram Stadium",141,4,84,"All",35.25,10.0714285714286
"Chennai Super Kings","Joginder Sharma",2008,"Punjab Cricket Association Stadium",47,1,24,"All",47,11.75
"Chennai Super Kings","Joginder Sharma",2008,"Wankhede Stadium",24,1,18,"All",24,8
"Chennai Super Kings","Joginder Sharma",2009,"Kingsmead",22,0,12,"All",Inf,11
"Chennai Super Kings","Joginder Sharma",2009,"Newlands",25,1,24,"All",25,6.25
"Chennai Super Kings","Joginder Sharma",2009,"St George's Park",10,1,6,"All",10,10
"Chennai Super Kings","Joginder Sharma",2010,"Brabourne Stadium",23,1,12,"All",23,11.5
"Chennai Super Kings","Joginder Sharma",2010,"Feroz Shah Kotla",43,1,24,"All",43,10.75
"Chennai Super Kings","Joginder Sharma",2010,"Sardar Patel Stadium",23,0,12,"All",Inf,11.5
"Chennai Super Kings","Joginder Sharma",2011,"Wankhede Stadium",34,0,18,"All",Inf,11.3333333333333
"Chennai Super Kings","John Hastings",2014,"JSCA International Stadium Complex",29,1,18,"All",29,9.66666666666667
"Chennai Super Kings","Josh Hazlewood",2020,"Dubai International Cricket Stadium",28,0,24,"All",Inf,7
"Chennai Super Kings","Josh Hazlewood",2020,"Sharjah Cricket Stadium",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Josh Hazlewood",2020,"Zayed Cricket Stadium",19,1,24,"All",19,4.75
"Chennai Super Kings","Josh Hazlewood",2021,"Dubai International Cricket Stadium",141,6,114,"All",23.5,7.42105263157895
"Chennai Super Kings","Josh Hazlewood",2021,"Sharjah Cricket Stadium",58,3,48,"All",19.3333333333333,7.25
"Chennai Super Kings","Josh Hazlewood",2021,"Zayed Cricket Stadium",94,2,48,"All",47,11.75
"Chennai Super Kings","Justin Kemp",2010,"Eden Gardens",12,3,18,"All",4,4
"Chennai Super Kings","Justin Kemp",2010,"Feroz Shah Kotla",14,0,6,"All",Inf,14
"Chennai Super Kings","Justin Kemp",2010,"Himachal Pradesh Cricket Association Stadium",12,0,6,"All",Inf,12
"Chennai Super Kings","Justin Kemp",2010,"MA Chidambaram Stadium",16,0,14,"All",Inf,6.85714285714286
"Chennai Super Kings","KM Asif",2018,"Eden Gardens",32,1,18,"All",32,10.6666666666667
"Chennai Super Kings","KM Asif",2018,"Maharashtra Cricket Association Stadium",43,2,18,"All",21.5,14.3333333333333
"Chennai Super Kings","KM Asif",2021,"Zayed Cricket Stadium",18,1,13,"All",18,8.30769230769231
"Chennai Super Kings","Karn Sharma",2018,"Eden Gardens",11,0,6,"All",Inf,11
"Chennai Super Kings","Karn Sharma",2018,"Maharashtra Cricket Association Stadium",13,2,9,"All",6.5,8.66666666666667
"Chennai Super Kings","Karn Sharma",2018,"Rajiv Gandhi International Stadium",30,1,18,"All",30,10
"Chennai Super Kings","Karn Sharma",2018,"Sawai Mansingh Stadium",10,0,6,"All",Inf,10
"Chennai Super Kings","Karn Sharma",2018,"Wankhede Stadium",25,1,18,"All",25,8.33333333333333
"Chennai Super Kings","Karn Sharma",2019,"Rajiv Gandhi International Stadium",33,1,17,"All",33,11.6470588235294
"Chennai Super Kings","Karn Sharma",2020,"Dubai International Cricket Stadium",106,3,72,"All",35.3333333333333,8.83333333333333
"Chennai Super Kings","Karn Sharma",2020,"Sharjah Cricket Stadium",34,0,18,"All",Inf,11.3333333333333
"Chennai Super Kings","Karn Sharma",2020,"Zayed Cricket Stadium",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Lakshmipathy Balaji",2008,"Dr DY Patil Sports Academy",42,0,24,"All",Inf,10.5
"Chennai Super Kings","Lakshmipathy Balaji",2008,"Eden Gardens",36,1,24,"All",36,9
"Chennai Super Kings","Lakshmipathy Balaji",2008,"Feroz Shah Kotla",35,2,24,"All",17.5,8.75
"Chennai Super Kings","Lakshmipathy Balaji",2008,"MA Chidambaram Stadium",103,6,66,"All",17.1666666666667,9.36363636363636
"Chennai Super Kings","Lakshmipathy Balaji",2008,"Rajiv Gandhi International Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Lakshmipathy Balaji",2008,"Wankhede Stadium",36,0,36,"All",Inf,6
"Chennai Super Kings","Lakshmipathy Balaji",2009,"Buffalo Park",18,0,6,"All",Inf,18
"Chennai Super Kings","Lakshmipathy Balaji",2009,"De Beers Diamond Oval",13,1,18,"All",13,4.33333333333333
"Chennai Super Kings","Lakshmipathy Balaji",2009,"Kingsmead",106,5,81,"All",21.2,7.85185185185185
"Chennai Super Kings","Lakshmipathy Balaji",2009,"New Wanderers Stadium",42,0,30,"All",Inf,8.4
"Chennai Super Kings","Lakshmipathy Balaji",2009,"St George's Park",35,2,26,"All",17.5,8.07692307692308
"Chennai Super Kings","Lakshmipathy Balaji",2009,"SuperSport Park",102,5,63,"All",20.4,9.71428571428572
"Chennai Super Kings","Lakshmipathy Balaji",2010,"Brabourne Stadium",47,1,24,"All",47,11.75
"Chennai Super Kings","Lakshmipathy Balaji",2010,"Eden Gardens",9,2,14,"All",4.5,3.85714285714286
"Chennai Super Kings","Lakshmipathy Balaji",2010,"Feroz Shah Kotla",21,2,18,"All",10.5,7
"Chennai Super Kings","Lakshmipathy Balaji",2010,"M Chinnaswamy Stadium",49,1,24,"All",49,12.25
"Chennai Super Kings","Lakshmipathy Balaji",2010,"MA Chidambaram Stadium",81,1,60,"All",81,8.1
"Chennai Super Kings","Lungi Ngidi",2018,"Eden Gardens",36,1,18,"All",36,12
"Chennai Super Kings","Lungi Ngidi",2018,"Feroz Shah Kotla",14,2,18,"All",7,4.66666666666667
"Chennai Super Kings","Lungi Ngidi",2018,"Maharashtra Cricket Association Stadium",60,6,72,"All",10,5
"Chennai Super Kings","Lungi Ngidi",2018,"Wankhede Stadium",46,2,48,"All",23,5.75
"Chennai Super Kings","Lungi Ngidi",2020,"Dubai International Cricket Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Lungi Ngidi",2020,"Sharjah Cricket Stadium",56,1,24,"All",56,14
"Chennai Super Kings","Lungi Ngidi",2020,"Zayed Cricket Stadium",77,6,48,"All",12.8333333333333,9.625
"Chennai Super Kings","Lungi Ngidi",2021,"Arun Jaitley Stadium",97,2,48,"All",48.5,12.125
"Chennai Super Kings","Lungi Ngidi",2021,"Wankhede Stadium",28,3,24,"All",9.33333333333333,7
"Chennai Super Kings","Maheesh Theekshana",2022,"Dr DY Patil Sports Academy",128,6,96,"All",21.3333333333333,8
"Chennai Super Kings","Maheesh Theekshana",2022,"Maharashtra Cricket Association Stadium",77,5,72,"All",15.4,6.41666666666667
"Chennai Super Kings","Maheesh Theekshana",2022,"Wankhede Stadium",56,1,42,"All",56,8
"Chennai Super Kings","Makhaya Ntini",2008,"Dr DY Patil Sports Academy",21,0,24,"All",Inf,5.25
"Chennai Super Kings","Makhaya Ntini",2008,"Eden Gardens",21,4,24,"All",5.25,5.25
"Chennai Super Kings","Makhaya Ntini",2008,"MA Chidambaram Stadium",136,0,96,"All",Inf,8.5
"Chennai Super Kings","Makhaya Ntini",2008,"Rajiv Gandhi International Stadium",24,1,24,"All",24,6
"Chennai Super Kings","Makhaya Ntini",2008,"Sawai Mansingh Stadium",17,0,18,"All",Inf,5.66666666666667
"Chennai Super Kings","Makhaya Ntini",2008,"Wankhede Stadium",23,2,24,"All",11.5,5.75
"Chennai Super Kings","Manpreet Gony",2008,"Dr DY Patil Sports Academy",30,1,24,"All",30,7.5
"Chennai Super Kings","Manpreet Gony",2008,"Eden Gardens",17,0,24,"All",Inf,4.25
"Chennai Super Kings","Manpreet Gony",2008,"Feroz Shah Kotla",36,1,24,"All",36,9
"Chennai Super Kings","Manpreet Gony",2008,"M Chinnaswamy Stadium",34,3,24,"All",11.3333333333333,8.5
"Chennai Super Kings","Manpreet Gony",2008,"MA Chidambaram Stadium",193,8,156,"All",24.125,7.42307692307692
"Chennai Super Kings","Manpreet Gony",2008,"Punjab Cricket Association Stadium",42,1,24,"All",42,10.5
"Chennai Super Kings","Manpreet Gony",2008,"Rajiv Gandhi International Stadium",21,1,24,"All",21,5.25
"Chennai Super Kings","Manpreet Gony",2008,"Sawai Mansingh Stadium",25,0,18,"All",Inf,8.33333333333333
"Chennai Super Kings","Manpreet Gony",2008,"Wankhede Stadium",45,2,42,"All",22.5,6.42857142857143
"Chennai Super Kings","Manpreet Gony",2009,"Kingsmead",74,1,42,"All",74,10.5714285714286
"Chennai Super Kings","Manpreet Gony",2009,"New Wanderers Stadium",23,1,12,"All",23,11.5
"Chennai Super Kings","Manpreet Gony",2009,"Newlands",32,2,24,"All",16,8
"Chennai Super Kings","Manpreet Gony",2009,"St George's Park",24,1,18,"All",24,8
"Chennai Super Kings","Manpreet Gony",2009,"SuperSport Park",19,0,6,"All",Inf,19
"Chennai Super Kings","Manpreet Gony",2010,"Eden Gardens",33,1,18,"All",33,11
"Chennai Super Kings","Manpreet Gony",2010,"MA Chidambaram Stadium",59,0,30,"All",Inf,11.8
"Chennai Super Kings","Mark Wood",2018,"Wankhede Stadium",49,0,24,"All",Inf,12.25
"Chennai Super Kings","Matheesha Pathirana",2022,"Brabourne Stadium",28,0,22,"All",Inf,7.63636363636364
"Chennai Super Kings","Matheesha Pathirana",2022,"Wankhede Stadium",24,2,19,"All",12,7.57894736842105
"Chennai Super Kings","Mitchell Santner",2019,"Eden Gardens",30,1,24,"All",30,7.5
"Chennai Super Kings","Mitchell Santner",2019,"MA Chidambaram Stadium",39,2,36,"All",19.5,6.5
"Chennai Super Kings","Mitchell Santner",2019,"Sawai Mansingh Stadium",25,1,24,"All",25,6.25
"Chennai Super Kings","Mitchell Santner",2020,"Dubai International Cricket Stadium",53,2,42,"All",26.5,7.57142857142857
"Chennai Super Kings","Mitchell Santner",2022,"Brabourne Stadium",15,1,18,"All",15,5
"Chennai Super Kings","Mitchell Santner",2022,"Dr DY Patil Sports Academy",16,1,18,"All",16,5.33333333333333
"Chennai Super Kings","Mitchell Santner",2022,"Maharashtra Cricket Association Stadium",36,1,18,"All",36,12
"Chennai Super Kings","Mitchell Santner",2022,"Wankhede Stadium",63,1,60,"All",63,6.3
"Chennai Super Kings","Moeen Ali",2021,"Arun Jaitley Stadium",17,1,18,"All",17,5.66666666666667
"Chennai Super Kings","Moeen Ali",2021,"Dubai International Cricket Stadium",59,1,60,"All",59,5.9
"Chennai Super Kings","Moeen Ali",2021,"Sharjah Cricket Stadium",5,0,6,"All",Inf,5
"Chennai Super Kings","Moeen Ali",2021,"Wankhede Stadium",57,4,54,"All",14.25,6.33333333333333
"Chennai Super Kings","Moeen Ali",2021,"Zayed Cricket Stadium",23,0,14,"All",Inf,9.85714285714286
"Chennai Super Kings","Moeen Ali",2022,"Brabourne Stadium",43,1,36,"All",43,7.16666666666667
"Chennai Super Kings","Moeen Ali",2022,"Dr DY Patil Sports Academy",42,3,48,"All",14,5.25
"Chennai Super Kings","Moeen Ali",2022,"Maharashtra Cricket Association Stadium",45,2,36,"All",22.5,7.5
"Chennai Super Kings","Moeen Ali",2022,"Wankhede Stadium",28,2,23,"All",14,7.30434782608696
"Chennai Super Kings","Mohit Sharma",2013,"Eden Gardens",39,1,42,"All",39,5.57142857142857
"Chennai Super Kings","Mohit Sharma",2013,"Feroz Shah Kotla",42,5,40,"All",8.4,6.3
"Chennai Super Kings","Mohit Sharma",2013,"M Chinnaswamy Stadium",14,1,6,"All",14,14
"Chennai Super Kings","Mohit Sharma",2013,"MA Chidambaram Stadium",141,7,120,"All",20.1428571428571,7.05
"Chennai Super Kings","Mohit Sharma",2013,"Rajiv Gandhi International Stadium",28,2,24,"All",14,7
"Chennai Super Kings","Mohit Sharma",2013,"Sawai Mansingh Stadium",21,1,24,"All",21,5.25
"Chennai Super Kings","Mohit Sharma",2013,"Subrata Roy Sahara Stadium",21,3,24,"All",7,5.25
"Chennai Super Kings","Mohit Sharma",2013,"Wankhede Stadium",20,0,24,"All",Inf,5
"Chennai Super Kings","Mohit Sharma",2014,"Barabati Stadium",38,2,24,"All",19,9.5
"Chennai Super Kings","Mohit Sharma",2014,"Brabourne Stadium",42,3,24,"All",14,10.5
"Chennai Super Kings","Mohit Sharma",2014,"Dubai International Cricket Stadium",27,5,36,"All",5.4,4.5
"Chennai Super Kings","Mohit Sharma",2014,"Eden Gardens",28,0,18,"All",Inf,9.33333333333333
"Chennai Super Kings","Mohit Sharma",2014,"Feroz Shah Kotla",51,1,24,"All",51,12.75
"Chennai Super Kings","Mohit Sharma",2014,"JSCA International Stadium Complex",99,6,72,"All",16.5,8.25
"Chennai Super Kings","Mohit Sharma",2014,"M Chinnaswamy Stadium",16,1,18,"All",16,5.33333333333333
"Chennai Super Kings","Mohit Sharma",2014,"Sharjah Cricket Stadium",27,2,24,"All",13.5,6.75
"Chennai Super Kings","Mohit Sharma",2014,"Sheikh Zayed Stadium",52,1,35,"All",52,8.91428571428571
"Chennai Super Kings","Mohit Sharma",2014,"Wankhede Stadium",72,2,48,"All",36,9
"Chennai Super Kings","Mohit Sharma",2015,"Eden Gardens",60,2,48,"All",30,7.5
"Chennai Super Kings","Mohit Sharma",2015,"JSCA International Stadium Complex",22,1,24,"All",22,5.5
"Chennai Super Kings","Mohit Sharma",2015,"M Chinnaswamy Stadium",39,0,24,"All",Inf,9.75
"Chennai Super Kings","Mohit Sharma",2015,"MA Chidambaram Stadium",176,9,144,"All",19.5555555555556,7.33333333333333
"Chennai Super Kings","Mohit Sharma",2015,"Rajiv Gandhi International Stadium",58,0,24,"All",Inf,14.5
"Chennai Super Kings","Mohit Sharma",2015,"Sardar Patel Stadium",33,0,24,"All",Inf,8.25
"Chennai Super Kings","Mohit Sharma",2015,"Shaheed Veer Narayan Singh International Stadium",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Mohit Sharma",2015,"Wankhede Stadium",76,2,42,"All",38,10.8571428571429
"Chennai Super Kings","Mohit Sharma",2019,"Wankhede Stadium",27,1,18,"All",27,9
"Chennai Super Kings","Monu Kumar",2020,"Dubai International Cricket Stadium",20,0,12,"All",Inf,10
"Chennai Super Kings","Mukesh Choudhary",2022,"Brabourne Stadium",132,1,69,"All",132,11.4782608695652
"Chennai Super Kings","Mukesh Choudhary",2022,"Dr DY Patil Sports Academy",111,7,78,"All",15.8571428571429,8.53846153846154
"Chennai Super Kings","Mukesh Choudhary",2022,"Maharashtra Cricket Association Stadium",94,5,60,"All",18.8,9.4
"Chennai Super Kings","Mukesh Choudhary",2022,"Wankhede Stadium",87,3,66,"All",29,7.90909090909091
"Chennai Super Kings","Muthiah Muralidaran",2008,"Dr DY Patil Sports Academy",39,2,24,"All",19.5,9.75
"Chennai Super Kings","Muthiah Muralidaran",2008,"Eden Gardens",41,0,24,"All",Inf,10.25
"Chennai Super Kings","Muthiah Muralidaran",2008,"Feroz Shah Kotla",25,0,24,"All",Inf,6.25
"Chennai Super Kings","Muthiah Muralidaran",2008,"MA Chidambaram Stadium",185,5,168,"All",37,6.60714285714286
"Chennai Super Kings","Muthiah Muralidaran",2008,"Punjab Cricket Association Stadium",33,1,24,"All",33,8.25
"Chennai Super Kings","Muthiah Muralidaran",2008,"Rajiv Gandhi International Stadium",22,1,24,"All",22,5.5
"Chennai Super Kings","Muthiah Muralidaran",2008,"Sawai Mansingh Stadium",20,1,24,"All",20,5
"Chennai Super Kings","Muthiah Muralidaran",2008,"Wankhede Stadium",39,1,36,"All",39,6.5
"Chennai Super Kings","Muthiah Muralidaran",2009,"Buffalo Park",11,2,18,"All",5.5,3.66666666666667
"Chennai Super Kings","Muthiah Muralidaran",2009,"De Beers Diamond Oval",22,2,24,"All",11,5.5
"Chennai Super Kings","Muthiah Muralidaran",2009,"Kingsmead",75,4,90,"All",18.75,5
"Chennai Super Kings","Muthiah Muralidaran",2009,"New Wanderers Stadium",37,2,48,"All",18.5,4.625
"Chennai Super Kings","Muthiah Muralidaran",2009,"St George's Park",30,3,48,"All",10,3.75
"Chennai Super Kings","Muthiah Muralidaran",2009,"SuperSport Park",86,1,72,"All",86,7.16666666666667
"Chennai Super Kings","Muthiah Muralidaran",2010,"Brabourne Stadium",32,2,24,"All",16,8
"Chennai Super Kings","Muthiah Muralidaran",2010,"Dr DY Patil Sports Academy",33,2,48,"All",16.5,4.125
"Chennai Super Kings","Muthiah Muralidaran",2010,"Eden Gardens",16,1,24,"All",16,4
"Chennai Super Kings","Muthiah Muralidaran",2010,"Feroz Shah Kotla",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Muthiah Muralidaran",2010,"M Chinnaswamy Stadium",25,3,24,"All",8.33333333333333,6.25
"Chennai Super Kings","Muthiah Muralidaran",2010,"MA Chidambaram Stadium",164,5,120,"All",32.8,8.2
"Chennai Super Kings","Muthiah Muralidaran",2010,"Sardar Patel Stadium",34,0,24,"All",Inf,8.5
"Chennai Super Kings","Nuwan Kulasekara",2011,"Dr DY Patil Sports Academy",26,1,18,"All",26,8.66666666666667
"Chennai Super Kings","Nuwan Kulasekara",2012,"MA Chidambaram Stadium",56,4,60,"All",14,5.6
"Chennai Super Kings","Nuwan Kulasekara",2012,"Subrata Roy Sahara Stadium",38,0,24,"All",Inf,9.5
"Chennai Super Kings","Palani Amarnath",2008,"Feroz Shah Kotla",35,0,18,"All",Inf,11.6666666666667
"Chennai Super Kings","Palani Amarnath",2008,"M Chinnaswamy Stadium",38,2,24,"All",19,9.5
"Chennai Super Kings","Palani Amarnath",2008,"MA Chidambaram Stadium",121,4,66,"All",30.25,11
"Chennai Super Kings","Palani Amarnath",2008,"Punjab Cricket Association Stadium",42,1,24,"All",42,10.5
"Chennai Super Kings","Pawan Negi",2014,"JSCA International Stadium Complex",38,0,24,"All",Inf,9.5
"Chennai Super Kings","Pawan Negi",2014,"Sheikh Zayed Stadium",37,0,18,"All",Inf,12.3333333333333
"Chennai Super Kings","Pawan Negi",2015,"Eden Gardens",41,1,36,"All",41,6.83333333333333
"Chennai Super Kings","Pawan Negi",2015,"JSCA International Stadium Complex",4,0,6,"All",Inf,4
"Chennai Super Kings","Pawan Negi",2015,"MA Chidambaram Stadium",88,0,60,"All",Inf,8.8
"Chennai Super Kings","Pawan Negi",2015,"Punjab Cricket Association Stadium",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Pawan Negi",2015,"Rajiv Gandhi International Stadium",20,1,12,"All",20,10
"Chennai Super Kings","Pawan Negi",2015,"Shaheed Veer Narayan Singh International Stadium",28,2,18,"All",14,9.33333333333333
"Chennai Super Kings","Pawan Negi",2015,"Wankhede Stadium",46,0,24,"All",Inf,11.5
"Chennai Super Kings","Piyush Chawla",2020,"Dubai International Cricket Stadium",83,4,60,"All",20.75,8.3
"Chennai Super Kings","Piyush Chawla",2020,"Sharjah Cricket Stadium",55,1,24,"All",55,13.75
"Chennai Super Kings","Piyush Chawla",2020,"Zayed Cricket Stadium",53,1,42,"All",53,7.57142857142857
"Chennai Super Kings","Prashant Solanki",2022,"Brabourne Stadium",20,2,12,"All",10,10
"Chennai Super Kings","Prashant Solanki",2022,"Wankhede Stadium",18,0,24,"All",Inf,4.5
"Chennai Super Kings","Ravichandran Ashwin",2009,"Kingsmead",13,2,24,"All",6.5,3.25
"Chennai Super Kings","Ravichandran Ashwin",2010,"Dr DY Patil Sports Academy",38,1,48,"All",38,4.75
"Chennai Super Kings","Ravichandran Ashwin",2010,"Eden Gardens",22,1,24,"All",22,5.5
"Chennai Super Kings","Ravichandran Ashwin",2010,"Feroz Shah Kotla",40,1,24,"All",40,10
"Chennai Super Kings","Ravichandran Ashwin",2010,"Himachal Pradesh Cricket Association Stadium",20,1,24,"All",20,5
"Chennai Super Kings","Ravichandran Ashwin",2010,"M Chinnaswamy Stadium",40,0,24,"All",Inf,10
"Chennai Super Kings","Ravichandran Ashwin",2010,"MA Chidambaram Stadium",120,7,120,"All",17.1428571428571,6
"Chennai Super Kings","Ravichandran Ashwin",2010,"Vidarbha Cricket Association Stadium",13,2,24,"All",6.5,3.25
"Chennai Super Kings","Ravichandran Ashwin",2011,"Dr DY Patil Sports Academy",29,1,24,"All",29,7.25
"Chennai Super Kings","Ravichandran Ashwin",2011,"Eden Gardens",12,2,18,"All",6,4
"Chennai Super Kings","Ravichandran Ashwin",2011,"M Chinnaswamy Stadium",18,1,24,"All",18,4.5
"Chennai Super Kings","Ravichandran Ashwin",2011,"MA Chidambaram Stadium",178,11,192,"All",16.1818181818182,5.5625
"Chennai Super Kings","Ravichandran Ashwin",2011,"Nehru Stadium",31,2,24,"All",15.5,7.75
"Chennai Super Kings","Ravichandran Ashwin",2011,"Punjab Cricket Association Stadium",37,0,24,"All",Inf,9.25
"Chennai Super Kings","Ravichandran Ashwin",2011,"Sawai Mansingh Stadium",24,2,24,"All",12,6
"Chennai Super Kings","Ravichandran Ashwin",2011,"Wankhede Stadium",59,1,48,"All",59,7.375
"Chennai Super Kings","Ravichandran Ashwin",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",12,0,18,"All",Inf,4
"Chennai Super Kings","Ravichandran Ashwin",2012,"Eden Gardens",26,1,24,"All",26,6.5
"Chennai Super Kings","Ravichandran Ashwin",2012,"Feroz Shah Kotla",21,1,20,"All",21,6.3
"Chennai Super Kings","Ravichandran Ashwin",2012,"Himachal Pradesh Cricket Association Stadium",27,0,24,"All",Inf,6.75
"Chennai Super Kings","Ravichandran Ashwin",2012,"M Chinnaswamy Stadium",18,1,18,"All",18,6
"Chennai Super Kings","Ravichandran Ashwin",2012,"MA Chidambaram Stadium",267,9,231,"All",29.6666666666667,6.93506493506494
"Chennai Super Kings","Ravichandran Ashwin",2012,"Sawai Mansingh Stadium",13,1,12,"All",13,6.5
"Chennai Super Kings","Ravichandran Ashwin",2012,"Subrata Roy Sahara Stadium",19,0,24,"All",Inf,4.75
"Chennai Super Kings","Ravichandran Ashwin",2012,"Wankhede Stadium",28,1,24,"All",28,7
"Chennai Super Kings","Ravichandran Ashwin",2013,"Eden Gardens",43,2,42,"All",21.5,6.14285714285714
"Chennai Super Kings","Ravichandran Ashwin",2013,"Feroz Shah Kotla",35,2,36,"All",17.5,5.83333333333333
"Chennai Super Kings","Ravichandran Ashwin",2013,"M Chinnaswamy Stadium",21,0,12,"All",Inf,10.5
"Chennai Super Kings","Ravichandran Ashwin",2013,"MA Chidambaram Stadium",192,8,186,"All",24,6.19354838709677
