"Bowling_Team","Bowler","Runs","Wickets","Balls","Batting_Team","Stadium","Season","Average","Economy"
"Royal Challengers Bangalore","Cameron White",43,0,12,"All","All","All",Inf,21.5
"Royal Challengers Bangalore","Charl Langeveldt",84,5,66,"All","All","All",16.8,7.63636363636364
"Royal Challengers Bangalore","Chris Gayle",428,13,340,"All","All","All",32.9230769230769,7.55294117647059
"Royal Challengers Bangalore","Chris Jordan",258,11,168,"All","All","All",23.4545454545455,9.21428571428572
"Royal Challengers Bangalore","Chris Morris",210,11,190,"All","All","All",19.0909090909091,6.63157894736842
"Royal Challengers Bangalore","Chris Woakes",190,8,110,"All","All","All",23.75,10.3636363636364
"Royal Challengers Bangalore","Colin de Grandhomme",184,2,120,"All","All","All",92,9.2
"Royal Challengers Bangalore","Corey Anderson",115,3,52,"All","All","All",38.3333333333333,13.2692307692308
"Royal Challengers Bangalore","Dale Steyn",922,32,754,"All","All","All",28.8125,7.3368700265252
"Royal Challengers Bangalore","Dan Christian",210,4,136,"All","All","All",52.5,9.26470588235294
