"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Dwayne Smith",2015,"Wankhede Stadium",62,2,34,"All",31,182.352941176471
"Chennai Super Kings","Faf du Plessis",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",39,1,25,"All",39,156
"Chennai Super Kings","Faf du Plessis",2012,"Eden Gardens",13,1,16,"All",13,81.25
"Chennai Super Kings","Faf du Plessis",2012,"Feroz Shah Kotla",15,1,12,"All",15,125
"Chennai Super Kings","Faf du Plessis",2012,"MA Chidambaram Stadium",279,7,207,"All",39.8571428571429,134.782608695652
"Chennai Super Kings","Faf du Plessis",2012,"Subrata Roy Sahara Stadium",43,1,33,"All",43,130.30303030303
"Chennai Super Kings","Faf du Plessis",2012,"Wankhede Stadium",9,1,11,"All",9,81.8181818181818
"Chennai Super Kings","Faf du Plessis",2014,"Barabati Stadium",52,1,25,"All",52,208
"Chennai Super Kings","Faf du Plessis",2014,"Brabourne Stadium",35,1,20,"All",35,175
"Chennai Super Kings","Faf du Plessis",2014,"Dubai International Cricket Stadium",27,2,34,"All",13.5,79.4117647058823
"Chennai Super Kings","Faf du Plessis",2014,"Eden Gardens",23,1,20,"All",23,115
"Chennai Super Kings","Faf du Plessis",2014,"JSCA International Stadium Complex",57,2,50,"All",28.5,114
"Chennai Super Kings","Faf du Plessis",2014,"M Chinnaswamy Stadium",54,0,43,"All",Inf,125.581395348837
"Chennai Super Kings","Faf du Plessis",2014,"Sharjah Cricket Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Faf du Plessis",2014,"Sheikh Zayed Stadium",24,1,17,"All",24,141.176470588235
"Chennai Super Kings","Faf du Plessis",2014,"Wankhede Stadium",31,2,25,"All",15.5,124
"Chennai Super Kings","Faf du Plessis",2015,"Eden Gardens",21,2,14,"All",10.5,150
"Chennai Super Kings","Faf du Plessis",2015,"JSCA International Stadium Complex",21,1,22,"All",21,95.4545454545455
"Chennai Super Kings","Faf du Plessis",2015,"M Chinnaswamy Stadium",33,0,18,"All",Inf,183.333333333333
"Chennai Super Kings","Faf du Plessis",2015,"MA Chidambaram Stadium",131,4,114,"All",32.75,114.912280701754
"Chennai Super Kings","Faf du Plessis",2015,"Punjab Cricket Association Stadium",55,1,41,"All",55,134.146341463415
"Chennai Super Kings","Faf du Plessis",2015,"Rajiv Gandhi International Stadium",33,1,22,"All",33,150
"Chennai Super Kings","Faf du Plessis",2015,"Sardar Patel Stadium",1,1,3,"All",1,33.3333333333333
"Chennai Super Kings","Faf du Plessis",2015,"Shaheed Veer Narayan Singh International Stadium",29,1,23,"All",29,126.086956521739
"Chennai Super Kings","Faf du Plessis",2015,"Wankhede Stadium",56,2,47,"All",28,119.148936170213
"Chennai Super Kings","Faf du Plessis",2018,"Eden Gardens",27,1,15,"All",27,180
"Chennai Super Kings","Faf du Plessis",2018,"Maharashtra Cricket Association Stadium",47,2,48,"All",23.5,97.9166666666667
"Chennai Super Kings","Faf du Plessis",2018,"Rajiv Gandhi International Stadium",11,1,13,"All",11,84.6153846153846
"Chennai Super Kings","Faf du Plessis",2018,"Wankhede Stadium",77,1,53,"All",77,145.283018867925
"Chennai Super Kings","Faf du Plessis",2019,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",50,1,39,"All",50,128.205128205128
"Chennai Super Kings","Faf du Plessis",2019,"Eden Gardens",24,1,16,"All",24,150
"Chennai Super Kings","Faf du Plessis",2019,"M Chinnaswamy Stadium",5,1,15,"All",5,33.3333333333333
"Chennai Super Kings","Faf du Plessis",2019,"MA Chidambaram Stadium",143,4,142,"All",35.75,100.704225352113
"Chennai Super Kings","Faf du Plessis",2019,"Punjab Cricket Association IS Bindra Stadium",96,1,55,"All",96,174.545454545455
"Chennai Super Kings","Faf du Plessis",2019,"Rajiv Gandhi International Stadium",71,2,44,"All",35.5,161.363636363636
"Chennai Super Kings","Faf du Plessis",2019,"Sawai Mansingh Stadium",7,1,10,"All",7,70
"Chennai Super Kings","Faf du Plessis",2020,"Dubai International Cricket Stadium",185,5,131,"All",37,141.221374045802
"Chennai Super Kings","Faf du Plessis",2020,"Sharjah Cricket Stadium",131,3,91,"All",43.6666666666667,143.956043956044
"Chennai Super Kings","Faf du Plessis",2020,"Zayed Cricket Stadium",133,3,97,"All",44.3333333333333,137.113402061856
"Chennai Super Kings","Faf du Plessis",2021,"Arun Jaitley Stadium",106,2,66,"All",53,160.606060606061
"Chennai Super Kings","Faf du Plessis",2021,"Dubai International Cricket Stadium",173,5,127,"All",34.6,136.220472440945
"Chennai Super Kings","Faf du Plessis",2021,"Sharjah Cricket Stadium",72,2,62,"All",36,116.129032258065
"Chennai Super Kings","Faf du Plessis",2021,"Wankhede Stadium",214,3,154,"All",71.3333333333333,138.961038961039
"Chennai Super Kings","Faf du Plessis",2021,"Zayed Cricket Stadium",68,2,49,"All",34,138.775510204082
"Chennai Super Kings","George Bailey",2009,"Kingsmead",15,1,12,"All",15,125
"Chennai Super Kings","George Bailey",2009,"SuperSport Park",30,1,27,"All",30,111.111111111111
"Chennai Super Kings","George Bailey",2010,"M Chinnaswamy Stadium",18,1,27,"All",18,66.6666666666667
"Chennai Super Kings","Harbhajan Singh",2018,"Maharashtra Cricket Association Stadium",19,1,22,"All",19,86.3636363636364
"Chennai Super Kings","Harbhajan Singh",2018,"Wankhede Stadium",10,2,14,"All",5,71.4285714285714
"Chennai Super Kings","Harbhajan Singh",2019,"MA Chidambaram Stadium",1,1,3,"All",1,33.3333333333333
"Chennai Super Kings","Imran Tahir",2018,"Wankhede Stadium",2,0,2,"All",Inf,100
"Chennai Super Kings","Imran Tahir",2020,"Sharjah Cricket Stadium",13,0,10,"All",Inf,130
"Chennai Super Kings","Jacob Oram",2008,"MA Chidambaram Stadium",5,0,2,"All",Inf,250
