"Striker","Season","Bowler","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Average","Strike_Rate"
"AB de Villiers",2013,"Manpreet Gony","Royal Challengers Bangalore","Punjab Kings",6,0,4,0,"All",Inf,150
"AB de Villiers",2013,"Michael Neser","Royal Challengers Bangalore","Punjab Kings",28,0,10,0,"All",Inf,280
"AB de Villiers",2013,"Mitchell Marsh","Royal Challengers Bangalore","Pune Warriors",16,1,4,0,"All",16,400
"AB de Villiers",2013,"Mohit Sharma","Royal Challengers Bangalore","Chennai Super Kings",0,1,1,0,"All",0,0
"AB de Villiers",2013,"Morne Morkel","Royal Challengers Bangalore","Delhi Capitals",13,0,7,0,"All",Inf,185.714285714286
"AB de Villiers",2013,"Parvinder Awana","Royal Challengers Bangalore","Punjab Kings",9,1,6,0,"All",9,150
"AB de Villiers",2013,"Pradeep Sangwan","Royal Challengers Bangalore","Kolkata Knight Riders",6,0,4,0,"All",Inf,150
"AB de Villiers",2013,"Praveen Kumar","Royal Challengers Bangalore","Punjab Kings",1,0,1,0,"All",Inf,100
"AB de Villiers",2013,"Rahul Sharma","Royal Challengers Bangalore","Pune Warriors",4,0,5,0,"All",Inf,80
"AB de Villiers",2013,"Rajat Bhatia","Royal Challengers Bangalore","Kolkata Knight Riders",16,0,10,0,"All",Inf,160
"AB de Villiers",2013,"Ravichandran Ashwin","Royal Challengers Bangalore","Chennai Super Kings",7,0,6,0,"All",Inf,116.666666666667
"AB de Villiers",2013,"Ravindra Jadeja","Royal Challengers Bangalore","Chennai Super Kings",6,0,3,0,"All",Inf,200
"AB de Villiers",2013,"Sachithra Senanayake","Royal Challengers Bangalore","Kolkata Knight Riders",4,0,3,0,"All",Inf,133.333333333333
"AB de Villiers",2013,"Shahbaz Nadeem","Royal Challengers Bangalore","Delhi Capitals",6,0,9,0,"All",Inf,66.6666666666667
"AB de Villiers",2013,"Shane Watson","Royal Challengers Bangalore","Rajasthan Royals",6,1,6,0,"All",6,100
"AB de Villiers",2013,"Siddarth Kaul","Royal Challengers Bangalore","Delhi Capitals",14,0,8,0,"All",Inf,175
"AB de Villiers",2013,"Siddharth Trivedi","Royal Challengers Bangalore","Rajasthan Royals",3,0,3,0,"All",Inf,100
"AB de Villiers",2013,"Sreesanth","Royal Challengers Bangalore","Rajasthan Royals",0,1,1,0,"All",0,0
"AB de Villiers",2013,"Stuart Binny","Royal Challengers Bangalore","Rajasthan Royals",5,0,3,0,"All",Inf,166.666666666667
"AB de Villiers",2013,"Sunil Narine","Royal Challengers Bangalore","Kolkata Knight Riders",7,0,9,0,"All",Inf,77.7777777777778
"AB de Villiers",2013,"Thisara Perera","Royal Challengers Bangalore","Sunrisers Hyderabad",3,0,2,0,"All",Inf,150
"AB de Villiers",2013,"Umesh Yadav","Royal Challengers Bangalore","Delhi Capitals",14,1,11,1,"All",14,127.272727272727
"AB de Villiers",2013,"Yusuf Pathan","Royal Challengers Bangalore","Kolkata Knight Riders",3,0,3,0,"All",Inf,100
"AB de Villiers",2014,"Ashish Nehra","Royal Challengers Bangalore","Chennai Super Kings",4,1,2,0,"All",4,200
"AB de Villiers",2014,"Axar Patel","Royal Challengers Bangalore","Punjab Kings",14,0,13,0,"All",Inf,107.692307692308
"AB de Villiers",2014,"Bhuvneshwar Kumar","Royal Challengers Bangalore","Sunrisers Hyderabad",15,1,10,0,"All",15,150
"AB de Villiers",2014,"Dale Steyn","Royal Challengers Bangalore","Sunrisers Hyderabad",28,0,12,0,"All",Inf,233.333333333333
"AB de Villiers",2014,"Daren Sammy","Royal Challengers Bangalore","Sunrisers Hyderabad",34,0,11,0,"All",Inf,309.090909090909
"AB de Villiers",2014,"David Hussey","Royal Challengers Bangalore","Chennai Super Kings",21,1,10,0,"All",21,210
"AB de Villiers",2014,"Glenn Maxwell","Royal Challengers Bangalore","Punjab Kings",7,0,2,0,"All",Inf,350
"AB de Villiers",2014,"Harbhajan Singh","Royal Challengers Bangalore","Mumbai Indians",11,0,15,0,"All",Inf,73.3333333333333
"AB de Villiers",2014,"Imran Tahir","Royal Challengers Bangalore","Delhi Capitals",5,0,4,0,"All",Inf,125
"AB de Villiers",2014,"Irfan Pathan","Royal Challengers Bangalore","Sunrisers Hyderabad",28,0,14,0,"All",Inf,200
"AB de Villiers",2014,"Ishant Sharma","Royal Challengers Bangalore","Sunrisers Hyderabad",9,0,4,0,"All",Inf,225
"AB de Villiers",2014,"Jacques Kallis","Royal Challengers Bangalore","Kolkata Knight Riders",2,0,4,0,"All",Inf,50
"AB de Villiers",2014,"James Faulkner","Royal Challengers Bangalore","Rajasthan Royals",28,1,11,0,"All",28,254.545454545455
"AB de Villiers",2014,"Jasprit Bumrah","Royal Challengers Bangalore","Mumbai Indians",11,1,11,0,"All",11,100
