"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"AB de Villiers",2019,"Royal Challengers Bangalore","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",59,0,38,0,"All",Inf,155.263157894737
"AB de Villiers",2019,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium",10,1,4,0,"All",10,250
"AB de Villiers",2019,"Royal Challengers Bangalore","Rajasthan Royals","Sawai Mansingh Stadium",13,1,9,0,"All",13,144.444444444444
"AB de Villiers",2019,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",1,1,2,0,"All",1,50
"AB de Villiers",2019,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",1,1,2,0,"All",1,50
"AB de Villiers",2020,"Royal Challengers Bangalore","Chennai Super Kings","Dubai International Cricket Stadium",39,2,38,0,"All",19.5,102.631578947368
"AB de Villiers",2020,"Royal Challengers Bangalore","Delhi Capitals","Dubai International Cricket Stadium",9,1,6,0,"All",9,150
"AB de Villiers",2020,"Royal Challengers Bangalore","Delhi Capitals","Zayed Cricket Stadium",35,1,21,1,"All",Inf,166.666666666667
"AB de Villiers",2020,"Royal Challengers Bangalore","Kolkata Knight Riders","Sharjah Cricket Stadium",73,0,33,0,"All",Inf,221.212121212121
"AB de Villiers",2020,"Royal Challengers Bangalore","Mumbai Indians","Dubai International Cricket Stadium",55,0,24,0,"All",Inf,229.166666666667
"AB de Villiers",2020,"Royal Challengers Bangalore","Mumbai Indians","Zayed Cricket Stadium",15,1,12,0,"All",15,125
"AB de Villiers",2020,"Royal Challengers Bangalore","Punjab Kings","Dubai International Cricket Stadium",28,1,18,0,"All",28,155.555555555556
"AB de Villiers",2020,"Royal Challengers Bangalore","Punjab Kings","Sharjah Cricket Stadium",2,1,5,0,"All",2,40
"AB de Villiers",2020,"Royal Challengers Bangalore","Rajasthan Royals","Dubai International Cricket Stadium",55,0,22,0,"All",Inf,250
"AB de Villiers",2020,"Royal Challengers Bangalore","Rajasthan Royals","Zayed Cricket Stadium",12,0,10,0,"All",Inf,120
"AB de Villiers",2020,"Royal Challengers Bangalore","Sunrisers Hyderabad","Dubai International Cricket Stadium",51,1,30,1,"All",Inf,170
"AB de Villiers",2020,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sharjah Cricket Stadium",24,1,24,0,"All",24,100
"AB de Villiers",2020,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sheikh Zayed Stadium",56,1,43,0,"All",56,130.232558139535
"AB de Villiers",2021,"Royal Challengers Bangalore","Chennai Super Kings","Sharjah Cricket Stadium",12,1,11,0,"All",12,109.090909090909
"AB de Villiers",2021,"Royal Challengers Bangalore","Chennai Super Kings","Wankhede Stadium",4,1,9,0,"All",4,44.4444444444444
"AB de Villiers",2021,"Royal Challengers Bangalore","Delhi Capitals","Dubai International Cricket Stadium",26,1,26,0,"All",26,100
"AB de Villiers",2021,"Royal Challengers Bangalore","Delhi Capitals","Narendra Modi Stadium",75,0,42,0,"All",Inf,178.571428571429
